ethnicity,LAD19CD,count_lad19
Asian/Asian British: Pakistani,E08000024,669
Asian/Asian British: Bangladeshi,E08000024,2075
Asian/Asian British: Chinese,E08000024,1536
Asian/Asian British: Other Asian,E08000024,1320
Black/African/Caribbean/Black British,E08000024,1273
Black/African/Caribbean/Black British: African,E08000024,1062
Black/African/Caribbean/Black British: Caribbean,E08000024,111
Black/African/Caribbean/Black British: Other Black,E08000024,100
Other ethnic group,E08000024,837
Other ethnic group: Arab,E08000024,292
Other ethnic group: Any other ethnic group,E08000024,545
All usual residents,E06000008,147489
White,E06000008,102009
White: English/Welsh/Scottish/Northern Irish/British,E06000008,98144
White: Irish,E06000008,794
White: Gypsy or Irish Traveller,E06000008,161
White: Other White,E06000008,2910
Mixed/multiple ethnic groups,E06000008,1823
Mixed/multiple ethnic groups: White and Black Caribbean,E06000008,315
Mixed/multiple ethnic groups: White and Black African,E06000008,162
Mixed/multiple ethnic groups: White and Asian,E06000008,989
Mixed/multiple ethnic groups: Other Mixed,E06000008,357
Asian/Asian British,E06000008,41494
Asian/Asian British: Indian,E06000008,19791
Asian/Asian British: Pakistani,E06000008,17801
Asian/Asian British: Bangladeshi,E06000008,1525
Asian/Asian British: Chinese,E06000008,721
Asian/Asian British: Other Asian,E06000008,1656
Black/African/Caribbean/Black British,E06000008,933
Black/African/Caribbean/Black British: African,E06000008,614
Black/African/Caribbean/Black British: Caribbean,E06000008,202
Black/African/Caribbean/Black British: Other Black,E06000008,117
Other ethnic group,E06000008,1230
Other ethnic group: Arab,E06000008,585
Other ethnic group: Any other ethnic group,E06000008,645
All usual residents,E06000009,142065
White,E06000009,137339
White: English/Welsh/Scottish/Northern Irish/British,E06000009,133042
White: Irish,E06000009,1029
White: Gypsy or Irish Traveller,E06000009,237
White: Other White,E06000009,3031
Mixed/multiple ethnic groups,E06000009,1753
Mixed/multiple ethnic groups: White and Black Caribbean,E06000009,690
Mixed/multiple ethnic groups: White and Black African,E06000009,264
Mixed/multiple ethnic groups: White and Asian,E06000009,448
Mixed/multiple ethnic groups: Other Mixed,E06000009,351
Asian/Asian British,E06000009,2282
Asian/Asian British: Indian,E06000009,627
Asian/Asian British: Pakistani,E06000009,223
Asian/Asian British: Bangladeshi,E06000009,231
Asian/Asian British: Chinese,E06000009,514
Asian/Asian British: Other Asian,E06000009,687
Black/African/Caribbean/Black British,E06000009,346
Black/African/Caribbean/Black British: African,E06000009,183
Black/African/Caribbean/Black British: Caribbean,E06000009,111
Black/African/Caribbean/Black British: Other Black,E06000009,52
Other ethnic group,E06000009,345
Other ethnic group: Arab,E06000009,170
Other ethnic group: Any other ethnic group,E06000009,175
All usual residents,E06000049,370127
White,E06000049,357940
White: English/Welsh/Scottish/Northern Irish/British,E06000049,346264
White: Irish,E06000049,2241
White: Gypsy or Irish Traveller,E06000049,313
White: Other White,E06000049,9122
Mixed/multiple ethnic groups,E06000049,3873
Mixed/multiple ethnic groups: White and Black Caribbean,E06000049,1341
Mixed/multiple ethnic groups: White and Black African,E06000049,461
Mixed/multiple ethnic groups: White and Asian,E06000049,1293
Mixed/multiple ethnic groups: Other Mixed,E06000049,778
Asian/Asian British,E06000049,6060
Asian/Asian British: Indian,E06000049,2147
Asian/Asian British: Pakistani,E06000049,856
Asian/Asian British: Bangladeshi,E06000049,504
Asian/Asian British: Chinese,E06000049,1125
Asian/Asian British: Other Asian,E06000049,1428
Black/African/Caribbean/Black British,E06000049,1402
Black/African/Caribbean/Black British: African,E06000049,664
Black/African/Caribbean/Black British: Caribbean,E06000049,511
Black/African/Caribbean/Black British: Other Black,E06000049,227
Other ethnic group,E06000049,852
